,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.19081,0.21054,0.13308,0.17275,0.41080,0.36477,corporate,0.52732,2023
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.43953,0.05471,-0.03962,-0.00003,0.29450,0.23822,corporate,0.91758,2023
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.29384,0.14523,0.06100,0.10118,0.36206,0.31195,corporate,0.66833,2023
44,Support activities for mining,120225750260.04312,2130,Mining,-0.38985,0.08374,-0.00695,0.03448,0.31617,0.26216,corporate,0.86200,2023
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.19783,0.21320,0.13398,0.16787,0.41279,0.36542,corporate,0.48208,2023
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.19450,0.20676,0.12902,0.17019,0.40798,0.36179,corporate,0.56746,2023
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.30086,0.15268,0.06633,0.09630,0.36762,0.31585,corporate,0.72056,2023
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.30751,0.15219,0.06509,0.09168,0.36725,0.31495,corporate,0.68815,2023
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.11153,0.27245,0.19938,0.22783,0.45700,0.41335,corporate,0.09291,2023
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.40079,0.07657,-0.01477,0.02688,0.31081,0.25643,corporate,0.88389,2023
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.10452,0.26112,0.19014,0.23270,0.44855,0.40658,corporate,0.29345,2023
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.35697,0.10613,0.01729,0.05732,0.33288,0.27992,corporate,0.80859,2023
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.46193,0.04565,-0.05088,-0.01559,0.28774,0.22997,corporate,0.90970,2023
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.36984,0.09792,0.00826,0.04838,0.32675,0.27330,corporate,0.82650,2023
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.32760,0.12216,0.03583,0.07772,0.34484,0.29351,corporate,0.77098,2023
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.23343,0.18271,0.10225,0.14315,0.39003,0.34217,corporate,0.62425,2023
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.44504,0.05259,-0.04233,-0.00386,0.29292,0.23624,corporate,0.91676,2023
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.33693,0.12052,0.03287,0.07125,0.34362,0.29134,corporate,0.75403,2023
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.14721,0.23951,0.16459,0.20304,0.43242,0.38786,corporate,0.42007,2023
60,Utilities,2043224620805.23413,2200,Utilities,-0.44536,0.05421,-0.04104,-0.00408,0.29413,0.23718,corporate,0.90615,2023
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.10698,0.25296,0.18284,0.23099,0.44246,0.40123,corporate,0.31790,2023
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.16967,0.23691,0.15002,0.32608,0.23691,0.25571,non-corporate,0.28702,2023
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.24161,0.19014,0.09787,0.28464,0.19014,0.21004,non-corporate,0.51284,2023
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.32859,0.13904,0.03968,0.23452,0.13904,0.15909,non-corporate,0.70862,2023
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.38465,0.10298,-0.00058,0.20222,0.10298,0.12384,non-corporate,0.74942,2023
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.26271,0.17690,0.08322,0.27248,0.17690,0.19722,non-corporate,0.42096,2023
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.21703,0.21328,0.12219,0.29880,0.21328,0.23134,non-corporate,0.18668,2023
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.42909,0.08802,-0.02052,0.17662,0.08802,0.10637,non-corporate,0.73245,2023
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.33971,0.13184,0.03172,0.22812,0.13184,0.15212,non-corporate,0.62531,2023
70,Construction,416883328410.43872,2300,Construction,-0.25612,0.18498,0.09130,0.27628,0.18498,0.20430,non-corporate,0.37592,2023
71,Educational services,223504007264.40912,6100,Educational services,-0.23103,0.20168,0.10943,0.29074,0.20168,0.22017,non-corporate,0.46701,2023
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.28426,0.16261,0.06717,0.26006,0.16261,0.18316,non-corporate,0.62200,2023
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.19177,0.22561,0.13679,0.31335,0.22561,0.24413,non-corporate,0.24503,2023
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.23605,0.19535,0.10327,0.28784,0.19535,0.21478,non-corporate,0.52544,2023
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.16612,0.24047,0.15365,0.32813,0.24047,0.25889,non-corporate,0.26051,2023
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.27704,0.16871,0.07353,0.26423,0.16871,0.18873,non-corporate,0.61264,2023
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.24958,0.18915,0.09562,0.28005,0.18915,0.20807,non-corporate,0.50633,2023
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.24676,0.18931,0.09619,0.28167,0.18931,0.20858,non-corporate,0.53245,2023
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.24549,0.18994,0.09703,0.28240,0.18994,0.20931,non-corporate,0.50105,2023
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.38184,0.11855,0.01363,0.20385,0.11855,0.13628,non-corporate,0.64022,2023
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.56530,0.01738,-0.10313,0.09814,0.01738,0.03404,non-corporate,0.84422,2023
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.44675,0.06748,-0.04127,0.16645,0.06748,0.08821,non-corporate,0.84341,2023
83,Information and data processing services,9622690880.85332,5140,Information,-0.36980,0.12024,0.01685,0.21078,0.12024,0.13910,non-corporate,0.77704,2023
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.21282,0.21135,0.12090,0.30122,0.21135,0.23021,non-corporate,0.43257,2023
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.22595,0.19656,0.10605,0.29366,0.19656,0.21721,non-corporate,0.46249,2023
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.21481,0.20300,0.11334,0.30008,0.20300,0.22359,non-corporate,0.49295,2023
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.16552,0.23276,0.14712,0.32848,0.23276,0.25317,non-corporate,0.33722,2023
88,Wood products,13100141973.28175,3210,Manufacturing,-0.21079,0.20720,0.11769,0.30240,0.20720,0.22740,non-corporate,0.42584,2023
89,Paper products,18990987477.15243,3220,Manufacturing,-0.28131,0.16364,0.06859,0.26176,0.16364,0.18440,non-corporate,0.59928,2023
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.28748,0.16028,0.06466,0.25821,0.16028,0.18096,non-corporate,0.63730,2023
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.23330,0.19575,0.10424,0.28943,0.19575,0.21562,non-corporate,0.39499,2023
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.33176,0.14013,0.04006,0.23270,0.14013,0.15942,non-corporate,0.64379,2023
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.25390,0.17977,0.08699,0.27755,0.17977,0.20052,non-corporate,0.53504,2023
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.23901,0.19178,0.09984,0.28614,0.19178,0.21177,non-corporate,0.44361,2023
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.23840,0.18774,0.09639,0.28649,0.18774,0.20875,non-corporate,0.51283,2023
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.25509,0.17812,0.08537,0.27687,0.17812,0.19910,non-corporate,0.54655,2023
97,Machinery,44994036766.64782,3330,Manufacturing,-0.24244,0.18785,0.09585,0.28416,0.18785,0.20828,non-corporate,0.49682,2023
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.28828,0.16916,0.07233,0.25775,0.16916,0.18768,non-corporate,0.64136,2023
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.21315,0.20618,0.11644,0.30103,0.20618,0.22631,non-corporate,0.42629,2023
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.25930,0.17957,0.08600,0.27445,0.17957,0.19965,non-corporate,0.56017,2023
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.19596,0.21598,0.12774,0.31094,0.21598,0.23620,non-corporate,0.39063,2023
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.21659,0.20268,0.11283,0.29905,0.20268,0.22314,non-corporate,0.46293,2023
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.24320,0.18936,0.09702,0.28372,0.18936,0.20930,non-corporate,0.49833,2023
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.47199,0.04733,-0.06279,0.15190,0.04733,0.06936,non-corporate,0.91750,2023
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.33431,0.13417,0.03462,0.23123,0.13417,0.15466,non-corporate,0.62362,2023
106,Support activities for mining,25044165259.49403,2130,Mining,-0.42988,0.07286,-0.03391,0.17617,0.07286,0.09465,non-corporate,0.85894,2023
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.26816,0.17831,0.08325,0.26934,0.17831,0.19724,non-corporate,0.52608,2023
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.25899,0.17939,0.08572,0.27462,0.17939,0.19941,non-corporate,0.58216,2023
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.36860,0.12077,0.01747,0.21147,0.12077,0.13964,non-corporate,0.73469,2023
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.37285,0.12043,0.01655,0.20902,0.12043,0.13884,non-corporate,0.69956,2023
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.18399,0.23498,0.14624,0.31784,0.23498,0.25240,non-corporate,0.09891,2023
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.43393,0.06978,-0.03721,0.17383,0.06978,0.09176,non-corporate,0.87239,2023
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.14943,0.24371,0.15923,0.33775,0.24371,0.26378,non-corporate,0.24054,2023
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.40190,0.09061,-0.01410,0.19229,0.09061,0.11199,non-corporate,0.81757,2023
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.49181,0.03753,-0.07447,0.14048,0.03753,0.05913,non-corporate,0.91227,2023
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.41254,0.08395,-0.02157,0.18615,0.08395,0.10546,non-corporate,0.83226,2023
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.38009,0.10300,0.00020,0.20485,0.10300,0.12452,non-corporate,0.78811,2023
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.29494,0.15671,0.06028,0.25391,0.15671,0.17713,non-corporate,0.64872,2023
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.47840,0.04389,-0.06682,0.14821,0.04389,0.06584,non-corporate,0.92232,2023
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.38568,0.10181,-0.00177,0.20163,0.10181,0.12279,non-corporate,0.76582,2023
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.21807,0.20628,0.11557,0.29820,0.20628,0.22555,non-corporate,0.45802,2023
122,Utilities,110848021471.32501,2200,Utilities,-0.47399,0.04764,-0.06287,0.15075,0.04764,0.06929,non-corporate,0.90138,2023
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.14429,0.24441,0.16073,0.34071,0.24441,0.26509,non-corporate,0.21984,2023
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.12338,0.25520,0.18220,0.21960,0.44413,0.40076,corporate,0.30200,2023
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.29006,0.15082,0.06629,0.10380,0.36623,0.31583,corporate,0.70545,2023
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.21645,0.19205,0.11360,0.15494,0.39700,0.35049,corporate,0.46505,2023
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.31847,0.14117,0.05391,0.08407,0.35903,0.30676,corporate,0.65049,2023
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.20984,0.19764,0.11886,0.15953,0.40118,0.35435,corporate,0.58840,2023
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.18938,0.21567,0.13740,0.17375,0.41463,0.36793,corporate,0.50413,2023
132,Information,1889701924722.87842,,Information,-0.41610,0.08368,-0.01067,0.01624,0.31612,0.25943,corporate,0.83323,2023
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.14024,0.24603,0.17152,0.20788,0.43728,0.39293,corporate,0.40088,2023
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.20663,0.20095,0.12239,0.16177,0.40364,0.35693,corporate,0.55284,2023
135,Mining,1516828156663.24072,,Mining,-0.41553,0.06941,-0.02324,0.01664,0.30547,0.25023,corporate,0.88191,2023
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.19783,0.21320,0.13398,0.16787,0.41279,0.36542,corporate,0.48208,2023
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.29437,0.15631,0.07045,0.10081,0.37032,0.31888,corporate,0.70627,2023
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.13230,0.25848,0.18409,0.21340,0.44658,0.40214,corporate,0.16315,2023
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.38527,0.09006,-0.00085,0.03766,0.32088,0.26663,corporate,0.83111,2023
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.18968,0.22390,0.13552,0.31456,0.22390,0.24301,non-corporate,0.35257,2023
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.34720,0.12707,0.02631,0.22380,0.12707,0.14739,non-corporate,0.72254,2023
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.25292,0.18475,0.09162,0.27812,0.18475,0.20458,non-corporate,0.37217,2023
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.37872,0.11255,0.00876,0.20564,0.11255,0.13201,non-corporate,0.67378,2023
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.21346,0.21057,0.12021,0.30086,0.21057,0.22961,non-corporate,0.35916,2023
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.25546,0.18455,0.09069,0.27666,0.18455,0.20376,non-corporate,0.53238,2023
151,Information,167179370661.11032,,Information,-0.45930,0.06481,-0.04550,0.15922,0.06481,0.08451,non-corporate,0.82695,2023
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.21282,0.21135,0.12090,0.30122,0.21135,0.23021,non-corporate,0.43257,2023
153,Manufacturing,649562708068.65234,,Manufacturing,-0.26297,0.17756,0.08361,0.27233,0.17756,0.19756,non-corporate,0.53814,2023
154,Mining,317661770013.00690,,Mining,-0.44860,0.06197,-0.04634,0.16538,0.06197,0.08377,non-corporate,0.87351,2023
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.26816,0.17831,0.08325,0.26934,0.17831,0.19724,non-corporate,0.52608,2023
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.35964,0.12571,0.02318,0.21663,0.12571,0.14464,non-corporate,0.71857,2023
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.18773,0.23252,0.14351,0.31568,0.23252,0.25001,non-corporate,0.11289,2023
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.41597,0.08270,-0.02320,0.18418,0.08270,0.10403,non-corporate,0.82300,2023
162,Overall,20307631130712.19531,,Overall,-0.23869,0.18316,0.10220,0.13949,0.39036,0.34214,corporate,0.55888,2023
163,Overall,17036588869287.80469,,Overall,-0.21557,0.21252,0.12164,0.29964,0.21252,0.23086,non-corporate,0.26074,2023
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.09387,0.27483,0.20377,0.24094,0.45833,0.41637,corporate,0.20916,2024
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.15051,0.23548,0.16077,0.20164,0.42894,0.38485,corporate,0.42536,2024
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.23257,0.18420,0.10378,0.14470,0.39064,0.34307,corporate,0.68594,2024
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.28503,0.15512,0.07055,0.10829,0.36892,0.31871,corporate,0.66151,2024
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.19191,0.20698,0.13008,0.17291,0.40765,0.36234,corporate,0.43947,2024
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.18662,0.21801,0.14059,0.17658,0.41589,0.37005,corporate,0.38405,2024
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.32684,0.14612,0.05700,0.07928,0.36219,0.30878,corporate,0.67469,2024
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.26294,0.16911,0.08627,0.12362,0.37936,0.33023,corporate,0.58955,2024
8,Construction,167674309864.62842,2300,Construction,-0.18643,0.21058,0.13401,0.17672,0.41034,0.36523,corporate,0.45801,2024
9,Educational services,321852356259.17963,6100,Educational services,-0.15367,0.24084,0.16451,0.19945,0.43294,0.38758,corporate,0.42720,2024
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.21088,0.19378,0.11520,0.15975,0.39779,0.35144,corporate,0.64546,2024
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.12569,0.25412,0.18087,0.21886,0.44286,0.39958,corporate,0.33130,2024
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.15100,0.23416,0.15934,0.20130,0.42796,0.38380,corporate,0.52577,2024
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.09032,0.27642,0.20536,0.24341,0.45952,0.41753,corporate,0.25833,2024
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.18926,0.21041,0.13281,0.17475,0.41021,0.36435,corporate,0.57172,2024
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.16868,0.22962,0.15255,0.18903,0.42456,0.37882,corporate,0.46426,2024
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.16738,0.22805,0.15132,0.18993,0.42339,0.37792,corporate,0.49257,2024
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.16833,0.22599,0.14955,0.18927,0.42185,0.37662,corporate,0.48673,2024
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.30198,0.16214,0.07490,0.09653,0.37416,0.32190,corporate,0.67500,2024
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.43783,0.09651,-0.00157,0.00226,0.32513,0.26585,corporate,0.79714,2024
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.36284,0.11078,0.02029,0.05430,0.33580,0.28187,corporate,0.80660,2024
21,Information and data processing services,118194411065.82817,5140,Information,-0.27374,0.16655,0.08231,0.11612,0.37745,0.32733,corporate,0.78411,2024
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.13071,0.25135,0.17755,0.21538,0.44080,0.39714,corporate,0.39582,2024
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.15920,0.22367,0.14923,0.19561,0.42011,0.37639,corporate,0.48402,2024
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.14060,0.23434,0.16115,0.20851,0.42809,0.38512,corporate,0.48884,2024
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.08661,0.26584,0.19688,0.24598,0.45162,0.41131,corporate,0.32138,2024
26,Wood products,45996624948.83839,3210,Manufacturing,-0.13207,0.24191,0.16922,0.21444,0.43374,0.39104,corporate,0.40867,2024
27,Paper products,129541595783.22841,3220,Manufacturing,-0.20715,0.19599,0.11786,0.16234,0.39944,0.35339,corporate,0.59442,2024
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.20931,0.19494,0.11653,0.16084,0.39866,0.35242,corporate,0.62525,2024
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.15338,0.23439,0.15975,0.19964,0.42812,0.38409,corporate,0.35480,2024
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.26819,0.17048,0.08628,0.11998,0.38038,0.33024,corporate,0.64742,2024
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.18977,0.20562,0.12887,0.17440,0.40663,0.36146,corporate,0.56097,2024
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.16353,0.22653,0.15123,0.19260,0.42225,0.37785,corporate,0.42810,2024
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.16822,0.21669,0.14175,0.18935,0.41490,0.37091,corporate,0.52049,2024
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.18317,0.20794,0.13190,0.17897,0.40837,0.36368,corporate,0.55437,2024
35,Machinery,272319888399.54382,3330,Manufacturing,-0.18310,0.21157,0.13508,0.17903,0.41108,0.36601,corporate,0.53848,2024
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.20096,0.21202,0.13290,0.16663,0.41142,0.36441,corporate,0.62727,2024
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.14734,0.23421,0.16019,0.20384,0.42799,0.38442,corporate,0.44535,2024
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.18317,0.21319,0.13659,0.17897,0.41229,0.36712,corporate,0.57296,2024
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.13139,0.24217,0.16963,0.21491,0.43394,0.39134,corporate,0.42522,2024
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.14400,0.23386,0.16036,0.20616,0.42773,0.38454,corporate,0.46124,2024
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.17945,0.21714,0.14047,0.18156,0.41524,0.36996,corporate,0.51957,2024
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.40392,0.07682,-0.01538,0.02579,0.31043,0.25573,corporate,0.89243,2024
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.26841,0.16113,0.07843,0.11983,0.37340,0.32449,corporate,0.64555,2024
44,Support activities for mining,120225750260.04312,2130,Mining,-0.33953,0.11356,0.02622,0.07047,0.33787,0.28622,corporate,0.83085,2024
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.18753,0.21921,0.14069,0.17595,0.41678,0.37013,corporate,0.47431,2024
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.16988,0.22061,0.14469,0.18820,0.41784,0.37306,corporate,0.55539,2024
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.27013,0.16969,0.08560,0.11863,0.37979,0.32974,corporate,0.70657,2024
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.25748,0.17842,0.09523,0.12741,0.38632,0.33680,corporate,0.67345,2024
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.11100,0.27278,0.19975,0.22905,0.45680,0.41341,corporate,0.09212,2024
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.34277,0.10984,0.02257,0.06823,0.33509,0.28354,corporate,0.85706,2024
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.09739,0.26528,0.19480,0.23850,0.45120,0.40979,corporate,0.28836,2024
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.32696,0.12444,0.03748,0.07920,0.34600,0.29447,corporate,0.78719,2024
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.42041,0.07430,-0.02019,0.01435,0.30855,0.25220,corporate,0.85725,2024
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.32413,0.12583,0.03907,0.08116,0.34704,0.29564,corporate,0.79049,2024
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.28191,0.14820,0.06513,0.11046,0.36375,0.31474,corporate,0.74979,2024
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.20816,0.19760,0.11887,0.16163,0.40065,0.35413,corporate,0.60634,2024
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.41426,0.07240,-0.02082,0.01862,0.30712,0.25174,corporate,0.89088,2024
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.30005,0.14381,0.05839,0.09787,0.36047,0.30980,corporate,0.71686,2024
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.13758,0.24515,0.17089,0.21061,0.43616,0.39226,corporate,0.41264,2024
60,Utilities,2043224620805.23413,2200,Utilities,-0.39208,0.08935,-0.00297,0.03401,0.31978,0.26482,corporate,0.84646,2024
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.09595,0.25948,0.19012,0.23950,0.44687,0.40636,corporate,0.31060,2024
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.16767,0.23964,0.15278,0.32845,0.23964,0.25832,non-corporate,0.28484,2024
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.22732,0.20017,0.10891,0.29414,0.20017,0.21992,non-corporate,0.50247,2024
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.29852,0.15801,0.06098,0.25320,0.15801,0.17796,non-corporate,0.69425,2024
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.34995,0.12669,0.02553,0.22362,0.12669,0.14693,non-corporate,0.70363,2024
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.24416,0.19016,0.09773,0.28446,0.19016,0.21013,non-corporate,0.39538,2024
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.21121,0.21840,0.12763,0.30341,0.21840,0.23630,non-corporate,0.18049,2024
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.39438,0.11164,0.00559,0.19806,0.11164,0.12947,non-corporate,0.70770,2024
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.32384,0.14354,0.04443,0.23864,0.14354,0.16347,non-corporate,0.60699,2024
