,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.41451,0.08802,-0.00521,0.13349,0.08802,0.09609,non-corporate,0.72345,2022
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.32763,0.12738,0.04172,0.18671,0.12738,0.13828,non-corporate,0.61974,2022
70,Construction,416883328410.43872,2300,Construction,-0.24707,0.17887,0.09869,0.23606,0.17887,0.18951,non-corporate,0.37288,2022
71,Educational services,223504007264.40912,6100,Educational services,-0.22310,0.19619,0.11674,0.25074,0.19619,0.20575,non-corporate,0.44640,2022
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.27462,0.15611,0.07439,0.21918,0.15611,0.16767,non-corporate,0.61104,2022
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.18506,0.21851,0.14234,0.27404,0.21851,0.22876,non-corporate,0.23737,2022
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.22839,0.18857,0.10952,0.24750,0.18857,0.19925,non-corporate,0.51063,2022
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.16016,0.23301,0.15842,0.28930,0.23301,0.24322,non-corporate,0.24473,2022
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.26757,0.16272,0.08108,0.22350,0.16272,0.17368,non-corporate,0.59791,2022
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.24091,0.18371,0.10327,0.23983,0.18371,0.19364,non-corporate,0.48828,2022
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.23825,0.18340,0.10336,0.24146,0.18340,0.19371,non-corporate,0.51388,2022
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.23703,0.18374,0.10398,0.24221,0.18374,0.19427,non-corporate,0.48594,2022
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.37008,0.11721,0.02697,0.16071,0.11721,0.12503,non-corporate,0.63257,2022
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.54620,0.02270,-0.08081,0.05282,0.02270,0.02810,non-corporate,0.83853,2022
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.43077,0.06590,-0.02714,0.12353,0.06590,0.07637,non-corporate,0.83808,2022
83,Information and data processing services,9622690880.85332,5140,Information,-0.35874,0.11747,0.02854,0.16765,0.11747,0.12643,non-corporate,0.76889,2022
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.20592,0.20449,0.12679,0.26127,0.20449,0.21478,non-corporate,0.41788,2022
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.21860,0.18796,0.11057,0.25350,0.18796,0.20020,non-corporate,0.45455,2022
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.20780,0.19424,0.11751,0.26011,0.19424,0.20644,non-corporate,0.48055,2022
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.16025,0.22265,0.14941,0.28924,0.22265,0.23512,non-corporate,0.32701,2022
88,Wood products,13100141973.28175,3210,Manufacturing,-0.20384,0.19871,0.12211,0.26254,0.19871,0.21057,non-corporate,0.41607,2022
89,Paper products,18990987477.15243,3220,Manufacturing,-0.27214,0.15658,0.07524,0.22070,0.15658,0.16843,non-corporate,0.59095,2022
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.27820,0.15351,0.07163,0.21699,0.15351,0.16518,non-corporate,0.62730,2022
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.22539,0.18827,0.10997,0.24934,0.18827,0.19965,non-corporate,0.38954,2022
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.32175,0.13596,0.04987,0.19031,0.13596,0.14561,non-corporate,0.63414,2022
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.24585,0.17180,0.09243,0.23681,0.17180,0.18389,non-corporate,0.52734,2022
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.23102,0.18435,0.10565,0.24589,0.18435,0.19577,non-corporate,0.43633,2022
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.23055,0.17917,0.10110,0.24618,0.17917,0.19168,non-corporate,0.50445,2022
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.24680,0.17002,0.09073,0.23623,0.17002,0.18235,non-corporate,0.53872,2022
97,Machinery,44994036766.64782,3330,Manufacturing,-0.23502,0.17980,0.10102,0.24344,0.17980,0.19161,non-corporate,0.48940,2022
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.28073,0.16405,0.08066,0.21544,0.16405,0.17330,non-corporate,0.63080,2022
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.20673,0.19760,0.12072,0.26077,0.19760,0.20933,non-corporate,0.41789,2022
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.25166,0.17223,0.09204,0.23325,0.17223,0.18353,non-corporate,0.55268,2022
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.19026,0.20668,0.13113,0.27086,0.20668,0.21869,non-corporate,0.38360,2022
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.20971,0.19400,0.11710,0.25895,0.19400,0.20607,non-corporate,0.45309,2022
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.23609,0.18176,0.10256,0.24279,0.18176,0.19300,non-corporate,0.48976,2022
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.45455,0.04538,-0.04858,0.10896,0.04538,0.05708,non-corporate,0.91416,2022
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.32250,0.12926,0.04413,0.18985,0.12926,0.14045,non-corporate,0.61866,2022
106,Support activities for mining,25044165259.49403,2130,Mining,-0.41437,0.06966,-0.02148,0.13358,0.06966,0.08145,non-corporate,0.85506,2022
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.25891,0.17339,0.09162,0.22880,0.17339,0.18316,non-corporate,0.50972,2022
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.25024,0.17278,0.09246,0.23412,0.17278,0.18392,non-corporate,0.56791,2022
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.35731,0.11805,0.02922,0.16853,0.11805,0.12704,non-corporate,0.72508,2022
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.36123,0.11839,0.02904,0.16612,0.11839,0.12689,non-corporate,0.68958,2022
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.17846,0.22825,0.15194,0.27809,0.22825,0.23740,non-corporate,0.09698,2022
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.41820,0.06651,-0.02477,0.13123,0.06651,0.07850,non-corporate,0.86928,2022
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.14438,0.23360,0.16137,0.29896,0.23360,0.24588,non-corporate,0.23209,2022
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.38749,0.08704,-0.00247,0.15004,0.08704,0.09855,non-corporate,0.81046,2022
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.47333,0.03681,-0.05883,0.09745,0.03681,0.04787,non-corporate,0.90907,2022
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.39769,0.08057,-0.00959,0.14379,0.08057,0.09215,non-corporate,0.82635,2022
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.36665,0.09842,0.01063,0.16281,0.09842,0.11033,non-corporate,0.78286,2022
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.28477,0.15082,0.06820,0.21297,0.15082,0.16209,non-corporate,0.63564,2022
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.46063,0.04230,-0.05219,0.10523,0.04230,0.05384,non-corporate,0.91853,2022
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.37192,0.09811,0.00952,0.15958,0.09811,0.10933,non-corporate,0.75905,2022
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.21056,0.19940,0.12150,0.25843,0.19940,0.21003,non-corporate,0.44092,2022
122,Utilities,110848021471.32501,2200,Utilities,-0.45638,0.04626,-0.04813,0.10784,0.04626,0.05749,non-corporate,0.89740,2022
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.13962,0.23326,0.16187,0.30188,0.23326,0.24633,non-corporate,0.21577,2022
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.08621,0.18975,0.13142,0.21810,0.28585,0.27135,corporate,0.29984,2022
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.20548,0.10604,0.04050,0.13224,0.21206,0.19508,corporate,0.70390,2022
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.15175,0.13984,0.07838,0.17092,0.24186,0.22685,corporate,0.46465,2022
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.22294,0.09833,0.03111,0.11967,0.20527,0.18720,corporate,0.64917,2022
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.14948,0.14322,0.08129,0.17255,0.24484,0.22930,corporate,0.58598,2022
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.13318,0.15790,0.09629,0.18429,0.25777,0.24188,corporate,0.50095,2022
132,Information,1889701924722.87842,,Information,-0.29119,0.05304,-0.01867,0.07055,0.16536,0.14544,corporate,0.83205,2022
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.10259,0.18028,0.12055,0.20631,0.27750,0.26223,corporate,0.39817,2022
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.15444,0.14217,0.07964,0.16898,0.24391,0.22791,corporate,0.55110,2022
135,Mining,1516828156663.24072,,Mining,-0.28193,0.04842,-0.02102,0.07721,0.16128,0.14347,corporate,0.88119,2022
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.13931,0.15550,0.09319,0.17987,0.25566,0.23928,corporate,0.47909,2022
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.21858,0.10466,0.03708,0.12281,0.21085,0.19221,corporate,0.70434,2022
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.09118,0.19175,0.13238,0.21452,0.28761,0.27216,corporate,0.16525,2022
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.26256,0.06329,-0.00525,0.09115,0.17439,0.15670,corporate,0.83004,2022
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.18306,0.21625,0.14043,0.27527,0.21625,0.22705,non-corporate,0.33855,2022
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.33552,0.12262,0.03630,0.18188,0.12262,0.13342,non-corporate,0.71427,2022
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.24408,0.17792,0.09830,0.23789,0.17792,0.18916,non-corporate,0.37055,2022
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.36558,0.11000,0.02104,0.16346,0.11000,0.11969,non-corporate,0.66667,2022
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.20612,0.20358,0.12609,0.26114,0.20358,0.21415,non-corporate,0.34931,2022
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.24664,0.17892,0.09826,0.23633,0.17892,0.18913,non-corporate,0.51521,2022
151,Information,167179370661.11032,,Information,-0.44338,0.06440,-0.03012,0.11580,0.06440,0.07368,non-corporate,0.82124,2022
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.20592,0.20449,0.12679,0.26127,0.20449,0.21478,non-corporate,0.41788,2022
153,Manufacturing,649562708068.65234,,Manufacturing,-0.25495,0.17058,0.09002,0.23123,0.17058,0.18172,non-corporate,0.52960,2022
154,Mining,317661770013.00690,,Mining,-0.43218,0.05945,-0.03300,0.12266,0.05945,0.07110,non-corporate,0.86992,2022
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.25891,0.17339,0.09162,0.22880,0.17339,0.18316,non-corporate,0.50972,2022
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.34855,0.12272,0.03456,0.17390,0.12272,0.13185,non-corporate,0.70854,2022
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.18207,0.22582,0.14928,0.27588,0.22582,0.23501,non-corporate,0.11093,2022
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.40093,0.07963,-0.01087,0.14181,0.07963,0.09100,non-corporate,0.81706,2022
162,Overall,20307631130712.19531,,Overall,-0.16991,0.13109,0.06770,0.15784,0.23414,0.21790,corporate,0.55780,2022
163,Overall,17036588869287.80469,,Overall,-0.20877,0.20591,0.12786,0.25952,0.20591,0.21575,non-corporate,0.25607,2022
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.06475,0.20574,0.14858,0.23425,0.30000,0.28594,corporate,0.20700,2023
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.10619,0.17390,0.11457,0.20444,0.27194,0.25741,corporate,0.42300,2023
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.17034,0.13030,0.06685,0.15831,0.23351,0.21739,corporate,0.68392,2023
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.19734,0.11141,0.04627,0.13889,0.21686,0.20013,corporate,0.65977,2023
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.13517,0.15147,0.09090,0.18360,0.25217,0.23757,corporate,0.43874,2023
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.12973,0.16007,0.09909,0.18752,0.25975,0.24443,corporate,0.38317,2023
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.23365,0.09864,0.02950,0.11278,0.20561,0.18607,corporate,0.67256,2023
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.18223,0.12210,0.05797,0.14976,0.22628,0.20995,corporate,0.58820,2023
8,Construction,167674309864.62842,2300,Construction,-0.13165,0.15415,0.09375,0.18613,0.25452,0.23995,corporate,0.45705,2023
9,Educational services,321852356259.17963,6100,Educational services,-0.10898,0.17734,0.11670,0.20244,0.27497,0.25920,corporate,0.42330,2023
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.15008,0.14065,0.07896,0.17288,0.24263,0.22755,corporate,0.64297,2023
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.09001,0.18788,0.12917,0.21608,0.28425,0.26966,corporate,0.32914,2023
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.11145,0.17081,0.11096,0.20066,0.26921,0.25439,corporate,0.52268,2023
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.06268,0.20703,0.14985,0.23574,0.30113,0.28700,corporate,0.25508,2023
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.13438,0.15372,0.09258,0.18417,0.25415,0.23898,corporate,0.56877,2023
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.11864,0.16894,0.10801,0.19549,0.26756,0.25192,corporate,0.46080,2023
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.11808,0.16781,0.10714,0.19589,0.26657,0.25118,corporate,0.48897,2023
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.11913,0.16608,0.10560,0.19514,0.26504,0.24989,corporate,0.48364,2023
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.22768,0.10601,0.03687,0.11707,0.21210,0.19225,corporate,0.67296,2023
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.31722,0.05364,-0.02216,0.05267,0.16594,0.14275,corporate,0.79516,2023
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.25167,0.07625,0.00735,0.09982,0.18587,0.16749,corporate,0.80491,2023
21,Information and data processing services,118194411065.82817,5140,Information,-0.20937,0.11081,0.04376,0.13024,0.21633,0.19803,corporate,0.78219,2023
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.09597,0.18459,0.12530,0.21179,0.28136,0.26641,corporate,0.39304,2023
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.11581,0.16352,0.10424,0.19753,0.26279,0.24875,corporate,0.48216,2023
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.10233,0.17238,0.11392,0.20722,0.27059,0.25687,corporate,0.48621,2023
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.06485,0.19746,0.14159,0.23417,0.29270,0.28007,corporate,0.31934,2023
26,Wood products,45996624948.83839,3210,Manufacturing,-0.09584,0.17832,0.12013,0.21189,0.27583,0.26208,corporate,0.40665,2023
27,Paper products,129541595783.22841,3220,Manufacturing,-0.15012,0.14105,0.07938,0.17285,0.24298,0.22790,corporate,0.59251,2023
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.15266,0.13973,0.07779,0.17102,0.24182,0.22657,corporate,0.62304,2023
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.10891,0.17248,0.11309,0.20249,0.27068,0.25617,corporate,0.35367,2023
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.20121,0.11524,0.04872,0.13611,0.22024,0.20219,corporate,0.64532,2023
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.13947,0.14806,0.08713,0.18051,0.24916,0.23440,corporate,0.55914,2023
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.11722,0.16588,0.10603,0.19651,0.26486,0.25026,corporate,0.42653,2023
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.12121,0.15860,0.09916,0.19364,0.25845,0.24449,corporate,0.51855,2023
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.13303,0.15097,0.09070,0.18514,0.25173,0.23740,corporate,0.55254,2023
35,Machinery,272319888399.54382,3330,Manufacturing,-0.13737,0.15134,0.09025,0.18202,0.25205,0.23702,corporate,0.53667,2023
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.16247,0.14497,0.08061,0.16397,0.24643,0.22893,corporate,0.62502,2023
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.11216,0.16934,0.10974,0.20015,0.26791,0.25337,corporate,0.44345,2023
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.14065,0.15111,0.08956,0.17966,0.25185,0.23644,corporate,0.57120,2023
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.10260,0.17517,0.11636,0.20702,0.27305,0.25892,corporate,0.42357,2023
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.10626,0.17102,0.11217,0.20439,0.26940,0.25540,corporate,0.45913,2023
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.13766,0.15403,0.09245,0.18181,0.25442,0.23886,corporate,0.51763,2023
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.27480,0.05374,-0.01549,0.08318,0.16604,0.14834,corporate,0.89139,2023
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.18698,0.11602,0.05203,0.14634,0.22092,0.20497,corporate,0.64419,2023
44,Support activities for mining,120225750260.04312,2130,Mining,-0.23499,0.08022,0.01362,0.11182,0.18937,0.17275,corporate,0.82964,2023
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.13232,0.16024,0.09835,0.18565,0.25989,0.24381,corporate,0.47121,2023
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.12165,0.16162,0.10147,0.19333,0.26111,0.24643,corporate,0.55251,2023
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.20364,0.11445,0.04781,0.13436,0.21954,0.20143,corporate,0.70448,2023
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.19438,0.12171,0.05558,0.14102,0.22594,0.20794,corporate,0.67133,2023
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.07582,0.20336,0.14479,0.22628,0.29790,0.28276,corporate,0.09448,2023
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.23683,0.07774,0.01127,0.11049,0.18719,0.17078,corporate,0.85604,2023
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.06938,0.19786,0.14112,0.23092,0.29305,0.27968,corporate,0.28624,2023
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.22578,0.08849,0.02210,0.11844,0.19666,0.17986,corporate,0.78552,2023
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.28355,0.05198,-0.01860,0.07689,0.16448,0.14573,corporate,0.85597,2023
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.22400,0.08954,0.02326,0.11972,0.19758,0.18084,corporate,0.78885,2023
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.19712,0.10617,0.04202,0.13905,0.21225,0.19657,corporate,0.74847,2023
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.14682,0.14406,0.08235,0.17523,0.24564,0.23040,corporate,0.60366,2023
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.28079,0.05062,-0.01917,0.07887,0.16329,0.14525,corporate,0.88975,2023
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.20797,0.10277,0.03716,0.13125,0.20925,0.19249,corporate,0.71511,2023
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.09716,0.18154,0.12241,0.21094,0.27867,0.26399,corporate,0.40942,2023
60,Utilities,2043224620805.23413,2200,Utilities,-0.26639,0.06281,-0.00658,0.08923,0.17403,0.15581,corporate,0.84493,2023
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.07110,0.19255,0.13648,0.22968,0.28837,0.27579,corporate,0.30935,2023
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.16147,0.23141,0.15688,0.28951,0.23141,0.24204,non-corporate,0.27043,2023
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.21922,0.19253,0.11429,0.25418,0.19253,0.20375,non-corporate,0.48840,2023
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.28861,0.15193,0.06872,0.21174,0.15193,0.16278,non-corporate,0.68395,2023
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.33702,0.12241,0.03575,0.18213,0.12241,0.13314,non-corporate,0.69437,2023
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.23536,0.18256,0.10352,0.24431,0.18256,0.19407,non-corporate,0.39217,2023
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.20310,0.21210,0.13431,0.26404,0.21210,0.22175,non-corporate,0.17841,2023
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.38059,0.11070,0.01954,0.15547,0.11070,0.11857,non-corporate,0.69646,2023
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.31187,0.13864,0.05378,0.19751,0.13864,0.14935,non-corporate,0.60003,2023
70,Construction,416883328410.43872,2300,Construction,-0.23332,0.18810,0.10873,0.24556,0.18810,0.19875,non-corporate,0.36114,2023
71,Educational services,223504007264.40912,6100,Educational services,-0.21739,0.20062,0.12145,0.25530,0.20062,0.21019,non-corporate,0.44167,2023
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.25122,0.17073,0.09054,0.23461,0.17073,0.18240,non-corporate,0.59744,2023
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.17991,0.22254,0.14661,0.27823,0.22254,0.23280,non-corporate,0.23385,2023
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.21348,0.19807,0.11998,0.25769,0.19807,0.20887,non-corporate,0.50334,2023
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.16007,0.23416,0.15944,0.29037,0.23416,0.24434,non-corporate,0.24413,2023
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.24808,0.17514,0.09475,0.23653,0.17514,0.18618,non-corporate,0.58449,2023
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.23018,0.19103,0.11122,0.24748,0.19103,0.20099,non-corporate,0.48022,2023
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.22832,0.19040,0.11091,0.24861,0.19040,0.20071,non-corporate,0.50501,2023
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.22731,0.19069,0.11144,0.24924,0.19069,0.20119,non-corporate,0.47675,2023
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.33649,0.13838,0.05037,0.18245,0.13838,0.14628,non-corporate,0.61246,2023
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.47334,0.06861,-0.03003,0.09873,0.06861,0.07400,non-corporate,0.79061,2023
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.39082,0.09258,0.00187,0.14921,0.09258,0.10268,non-corporate,0.79343,2023
83,Information and data processing services,9622690880.85332,5140,Information,-0.32765,0.13575,0.04899,0.18785,0.13575,0.14505,non-corporate,0.75466,2023
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.19806,0.21006,0.13279,0.26713,0.21006,0.22038,non-corporate,0.41301,2023
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.20643,0.19642,0.11970,0.26201,0.19642,0.20861,non-corporate,0.44318,2023
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.19716,0.20180,0.12565,0.26768,0.20180,0.21396,non-corporate,0.47007,2023
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.15522,0.22678,0.15374,0.29333,0.22678,0.23921,non-corporate,0.32138,2023
88,Wood products,13100141973.28175,3210,Manufacturing,-0.19431,0.20556,0.12946,0.26942,0.20556,0.21739,non-corporate,0.40680,2023
89,Paper products,18990987477.15243,3220,Manufacturing,-0.25434,0.16843,0.08816,0.23270,0.16843,0.18025,non-corporate,0.57487,2023
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.25962,0.16568,0.08493,0.22947,0.16568,0.17736,non-corporate,0.61246,2023
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.21431,0.19605,0.11835,0.25719,0.19605,0.20740,non-corporate,0.37876,2023
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.31496,0.14112,0.05535,0.19562,0.14112,0.15076,non-corporate,0.62834,2023
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.23173,0.18140,0.10284,0.24653,0.18140,0.19346,non-corporate,0.51492,2023
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.21932,0.19244,0.11440,0.25412,0.19244,0.20385,non-corporate,0.42589,2023
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.21487,0.18980,0.11263,0.25684,0.18980,0.20226,non-corporate,0.48940,2023
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.22987,0.18129,0.10300,0.24767,0.18129,0.19360,non-corporate,0.52434,2023
97,Machinery,44994036766.64782,3330,Manufacturing,-0.22332,0.18787,0.10976,0.25168,0.18787,0.19967,non-corporate,0.47925,2023
